description,categorie
Un homme m'a volé mon téléphone près du lycée.,AGRESSION
Les ordures s'accumulent dans la rue sans ramassage.,DECHETS
Un policier m'a demandé un pot-de-vin.,CORRUPTION
"La chaussée est cassée, impossible de passer en voiture.",VOIRIE
Un problème non listé dans les autres catégories.,AUTRES
Je me suis fait agresser en sortant du cinéma.,AGRESSION
Il y a un gros tas de déchets à côté du parc.,DECHETS
Un agent de sécurité m'a demandé de l'argent pour entrer.,CORRUPTION
La route principale est défoncée et impraticable.,VOIRIE
Mon voisin a déposé des ordures devant ma porte.,DECHETS
Des jeunes se bagarrent devant l'école primaire.,AGRESSION
Les éboueurs ne sont pas passés depuis une semaine.,DECHETS
Un fonctionnaire refuse de traiter mon dossier sans paiement.,CORRUPTION
Un énorme trou bloque la circulation dans mon quartier.,VOIRIE
Des déchets jonchent le sol dans la rue principale.,DECHETS
On m'a agressé près du rond-point ce matin.,AGRESSION
Le trottoir est totalement dégradé devant la mairie.,VOIRIE
Le maire refuse d'intervenir sans dessous-de-table.,CORRUPTION
Un groupe a été agressé devant la station-service.,AGRESSION
Des détritus s'accumulent au coin de la rue.,DECHETS
La chaussée est dangereuse à cause de trous non réparés.,VOIRIE
Un fonctionnaire a accepté de l'argent pour accélérer un dossier.,CORRUPTION
Des jeunes agressent les passants dans mon quartier.,AGRESSION
Un énorme amoncellement de déchets dans le parc public.,DECHETS
Le chemin vers l'école est devenu impraticable.,VOIRIE
Une tentative de vol a eu lieu devant ma boutique.,AGRESSION
La route nationale est en très mauvais état.,VOIRIE
Les ordures bloquent le passage piéton.,DECHETS
Un policier corrompu m'a extorqué de l'argent.,CORRUPTION
Un inconnu a tenté de voler ma voiture.,AGRESSION
Les rues sont envahies par les sacs poubelle.,DECHETS
La chaussée s'est effondrée près du marché.,VOIRIE
Un responsable administratif exige un pot-de-vin.,CORRUPTION
Agression constatée devant le supermarché.,AGRESSION
Les poubelles débordent dans tout le quartier.,DECHETS
Route impraticable suite à un affaissement.,VOIRIE
Le guichetier exige un dessous-de-table.,CORRUPTION
Bagarre générale observée près de la gare.,AGRESSION
Accumulation massive de déchets devant l'hôpital.,DECHETS
Un nid-de-poule énorme sur la voie rapide.,VOIRIE
Un agent municipal m'a réclamé de l'argent.,CORRUPTION
Véhicule volé sous la menace près du parc.,AGRESSION
Les bennes à ordures sont pleines depuis des jours.,DECHETS
Chaussée glissante et fissurée après les pluies.,VOIRIE
Tentative de corruption d'un inspecteur municipal.,CORRUPTION
Personnes agressives dans le parc de la ville.,AGRESSION
Dépôt sauvage d'ordures dans le quartier résidentiel.,DECHETS
La route de campagne est impraticable.,VOIRIE
Un cas de corruption découvert à la mairie.,CORRUPTION
"Des inconnus ont vandalisé des bancs publics près de la mairie.",AGRESSION
"Des détritus médicaux traînent devant le centre de santé.",DECHETS
"Un douanier réclame 50€ pour libérer mon colis.",CORRUPTION
"Le passage piéton est effacé et invisible la nuit.",VOIRIE
"Des câbles électriques pendent dangereusement au-dessus du trottoir.",AUTRES
"Une femme s'est fait arracher son sac à main sur le marché.",AGRESSION
"Des déchets verts brûlent en permanence derrière l'usine.",DECHETS
"Le maire exige des contributions pour les permis de construire.",CORRUPTION
"Les égouts débordent après chaque pluie à cause de canaux bouchés.",VOIRIE
"Un panneau de signalisation est tombé sur la voie publique.",AUTRES
"Un groupe rackette les commerçants du quartier.",AGRESSION
